date,victimization_primary,incident_primary,gunshot_injury_i,community_area,age,sex,race,location_description,latitude,longitude
2026-01-07 16:32:00,HOMICIDE,HOMICIDE,YES,ROSELAND,20-29,M,BLK,APARTMENT,41.7123616541419,-87.6212146538797
2026-01-06 20:11:00,HOMICIDE,HOMICIDE,YES,GARFIELD RIDGE,70-79,M,BLK,HOUSE,41.8108716541419,-87.7462753461203
2026-01-06 19:08:00,BATTERY,BATTERY,YES,WEST ENGLEWOOD,50-59,M,BLK,STREET,41.7921483458581,-87.6700146538797
2026-01-06 17:05:00,BATTERY,BATTERY,YES,HUMBOLDT PARK,20-29,M,BLK,SIDEWALK,41.8915516541419,-87.7105646538796
2026-01-06 17:05:00,BATTERY,BATTERY,YES,HUMBOLDT PARK,20-29,M,BLK,SIDEWALK,41.8915516541419,-87.7105646538796
2026-01-06 04:15:00,BATTERY,BATTERY,YES,AUSTIN,30-39,M,BLK,STREET,41.8827596689467,-87.7613185474708
2026-01-05 14:28:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,20-29,M,BLK,STREET,41.7564683458581,-87.6665953461203
2026-01-05 10:03:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,20-29,M,BLK,SIDEWALK,41.8612330958581,-87.7113390586992
2026-01-05 10:03:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,20-29,M,BLK,SIDEWALK,41.8612330958581,-87.7113390586992
2026-01-05 10:03:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,UNKNOWN,F,BLK,SIDEWALK,41.8612330958581,-87.7113390586992
2026-01-05 03:59:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,0-19,M,BLK,STREET,41.7496789841419,-87.6633084013008
2026-01-04 21:52:00,HOMICIDE,HOMICIDE,YES,ENGLEWOOD,40-49,M,WBH,GAS STATION,41.7940183458581,-87.6457053461203
2026-01-04 21:23:00,BATTERY,BATTERY,YES,MCKINLEY PARK,20-29,F,BLK,STREET,41.8336083458581,-87.6851953461203
2026-01-04 21:23:00,BATTERY,BATTERY,YES,MCKINLEY PARK,30-39,M,BLK,STREET,41.8336083458581,-87.6851953461203
2026-01-04 19:57:00,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,30-39,M,BLK,STREET,41.7512216541419,-87.6033346538796
2026-01-04 19:57:00,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,0-19,M,BLK,STREET,41.7512216541419,-87.6033346538796
2026-01-03 21:46:00,BATTERY,BATTERY,YES,SOUTH SHORE,0-19,M,BLK,STREET,41.7539396689467,-87.5626385474708
2026-01-03 16:59:00,BATTERY,BATTERY,YES,ASHBURN,40-49,M,WWH,RESIDENCE,41.7531583458581,-87.7070846538797
2026-01-03 00:27:00,BATTERY,BATTERY,YES,ARMOUR SQUARE,30-39,M,BLK,CHA PARKING LOT / GROUNDS,41.8250616541419,-87.6334653461203
2026-01-02 22:46:00,BATTERY,BATTERY,YES,ROSELAND,50-59,M,BLK,RESIDENCE - PORCH / HALLWAY,41.6855669041419,-87.6381309413008
2026-01-02 22:30:00,BATTERY,BATTERY,YES,SOUTH CHICAGO,30-39,M,BLK,STREET,41.7516330958581,-87.5832990586992
2026-01-02 09:12:00,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,50-59,M,WWH,APARTMENT,41.7732630958581,-87.5768890586992
2026-01-02 09:07:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,20-29,M,BLK,APARTMENT,41.8625783458581,-87.7061346538796
2026-01-01 19:04:00,BATTERY,BATTERY,YES,HUMBOLDT PARK,0-19,M,BLK,APARTMENT,41.9034130958581,-87.7088190586992
2026-01-01 13:36:00,BATTERY,BATTERY,YES,HUMBOLDT PARK,0-19,M,BLK,STREET,41.9009416541419,-87.7198746538796
2026-01-01 03:24:00,BATTERY,BATTERY,YES,NEW CITY,20-29,F,BLK,STREET,41.8008505,-87.66223
2026-01-01 03:24:00,BATTERY,BATTERY,YES,NEW CITY,20-29,M,BLK,STREET,41.8008505,-87.66223
2026-01-01 02:42:00,BATTERY,BATTERY,YES,SOUTH SHORE,30-39,M,BLK,STREET,41.7554683458581,-87.5590953461203
2026-01-01 01:30:00,BATTERY,BATTERY,YES,NEAR SOUTH SIDE,40-49,M,BLK,SIDEWALK,41.8547196689467,-87.6238585474708
